cell_id,min,max,std,z_range
abbdgfdm-1,14.256381,22.925348,1.253687097267074,8.668967
abbhplpg-1,14.717241,18.490479,0.9369808508415707,3.773238000000001
abbjdkkc-1,14.9407625,18.078426,0.8618423532907419,3.1376635000000004
abbjeefc-1,14.470452,22.114367,1.1943427937291922,7.643915000000002
abbofbkb-1,14.638789,21.157007,1.2054256541272255,6.518218000000001
abboobfj-1,14.339952,19.46972,1.1050618579125053,5.1297679999999986
abbpemmo-1,13.584312,17.910492,1.0910876738824868,4.326180000000001
abcakngh-1,16.002522,21.500689,1.2391601337640321,5.498167000000002
abcbkioc-1,15.995569,20.3102,1.1748926070272594,4.3146309999999986
abcdmjeb-1,15.745097,21.693062,1.306274797420673,5.947965000000002
abclejni-1,16.00997,20.582598,1.1990680284166821,4.572628000000002
abcmhhhn-1,15.571188,19.860807,0.9925554682805366,4.289619000000002
abdaodia-1,15.834869,23.153603,1.2015650321686016,7.318734000000001
abdbcphe-1,14.978642,20.433344,1.1585407842798978,5.454702000000001
abdbnacn-1,15.893229,20.512644,1.2494037338582622,4.619415000000002
abddeefo-1,15.884382,19.839481,0.9113271294761863,3.955098999999999
abdeiffl-1,15.300482,22.970596,1.5021059168246993,7.670114
abdkpace-1,15.497905,19.881952,0.8723554186994714,4.384046999999999
abdlkbff-1,15.806425,25.670542,1.6502660057712586,9.864117
abdojpak-1,15.119567,23.602905,1.62911155478808,8.483338
abdpfmjj-1,15.284173,19.65434,1.159328989069245,4.370167000000002
abdplkch-1,15.3958645,20.254358,1.1921343886028042,4.8584935
abeabmaf-1,15.752926,25.18603,1.7312301419140372,9.433103999999998
abebljga-1,15.68824,26.944004,1.689464985943656,11.255764
abecilij-1,15.28407,25.012892,1.4298674894049255,9.728822000000001
abefimjm-1,15.327096,19.663515,1.0622447014051164,4.336419000000001
abejmain-1,15.733931,22.240446,1.4337591281160298,6.5065149999999985
abepecae-1,15.378314,20.421812,1.1231289594065657,5.043498
abepngfg-1,15.175455,20.176903,1.259689369302704,5.001448
abfdneep-1,15.823483,20.388649,0.981979024410965,4.565166000000001
abffecln-1,15.044941,26.137161,1.8611592104982257,11.09222
abffhecf-1,15.122746,19.533342,1.0402693916330872,4.410596000000002
abffojhh-1,14.996019,23.02349,0.9910561915035976,8.027470999999998
abfhecbc-1,14.886678,22.932854,1.291994655826006,8.046175999999999
