feature_name,mean,median,std,count
WIPF3,8.469944708661762,8.053401664180774,4.364285953841491,3420
LY86,8.471843004963233,8.151641427477642,4.619556080780621,100
CD8A,8.486611808668068,8.010800589826243,4.46785304398147,204
ELOVL2,8.523996001105557,7.947248292795147,4.227709427728633,195
NPTXR,8.527142368542137,8.115087751238296,4.366606486358869,7291
HS3ST4,8.53497964529152,7.971794614274119,4.385971097556244,769
TGFB2,8.541885689812805,8.114997246753543,4.43136774677019,1125
PVALB,8.543958279925974,8.013581159294736,4.431222846647358,1543
SLC17A7,8.545743497302855,8.143326809893765,4.271465945646516,10266
CDH4,8.56101433514082,8.456138694379934,4.3603127960045205,441
SNCA,8.56185871634959,8.145649044100521,4.2862566224341725,11318
PAX6,8.563615424579092,8.044288487002696,4.480494343508112,714
CD52,8.580023288156367,8.283758106738802,4.108126532129319,59
CENPF,8.600198271851838,8.564524338749498,4.225424919150931,145
HPCA,8.60661173978348,8.36027621764619,4.298751035564657,2823
BEX1,8.62264717728625,8.250934500721913,4.329851181908371,14994
AQP4,8.625448467996527,8.323752103079013,4.392840896867269,7478
TTYH1,8.625783057833521,8.332145476956141,4.403255100298342,2162
NNAT,8.643749651411278,8.20279638336767,4.355538636654164,1238
PARK7,8.663523057012199,8.282479276634204,4.359492371274923,10851
CAPG,8.688473531649752,8.677187275107425,4.154759329676586,132
SPHKAP,8.689092725441885,8.123664895622479,4.5231839009492,620
IDH2,8.702499526473648,8.387322168848375,4.375195504905417,3023
MGST1,8.720361819656613,8.447039790977726,4.3506256089403985,967
TRIL,8.795988567954648,8.525808988184945,4.349965475034598,2067
MKI67,8.796742992304504,7.64723278152456,5.59050274983235,8
MMD,8.826476757572976,8.539951668065878,4.427203195530445,3000
HLA-DQA1,8.831562498751504,8.418060938672355,4.3550010181658285,42
RORB,8.836820101299299,8.477838567783385,4.265602678764311,3042
LMO4,8.865562670746613,8.604717800825116,4.332292223762112,9825
AIF1,8.873595294005787,8.702206262064921,4.281870431696054,405
THEMIS,8.905296328289557,8.610671703055464,4.446729717882623,106
TPH2,8.948451178335478,9.299082601642226,4.373587401283871,89
NRN1,9.0451401046823,8.831903718818854,4.347719848945057,23029
NRGN,9.059885120727378,8.781997602935483,4.347631468194927,22386
SNCG,9.149177295215576,9.298270112262259,4.534891268069344,34
NKG7,9.18501305601006,8.576701092664969,4.831480431102973,27
GNLY,9.224140459537923,8.532358736293574,3.7505137962708277,11
DDR2,9.232629136512433,9.33120570717209,4.373887466258246,281
APOE,9.246373655085556,9.207549867422886,4.331302602518223,3045
CD163,9.668175432149233,9.861039189103728,4.448515632127497,204
